date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
06-02-2013,Honduras,United States,2,1,FIFA World Cup qualification,San Pedro Sula,Honduras,FALSE
06-02-2013,Mexico,Jamaica,0,0,FIFA World Cup qualification,Mexico City,Mexico,FALSE
06-02-2013,Panama,Costa Rica,2,2,FIFA World Cup qualification,Panama City,Panama,FALSE
22-03-2013,Andorra,Turkey,0,2,FIFA World Cup qualification,Sant Julià de Lòria,Andorra,FALSE
22-03-2013,Argentina,Venezuela,3,0,FIFA World Cup qualification,Buenos Aires,Argentina,FALSE
22-03-2013,Austria,Faroe Islands,6,0,FIFA World Cup qualification,Vienna,Austria,FALSE
22-03-2013,Bosnia and Herzegovina,Greece,3,1,FIFA World Cup qualification,Zenica,Bosnia and Herzegovina,FALSE
22-03-2013,Bulgaria,Malta,6,0,FIFA World Cup qualification,Sofia,Bulgaria,FALSE
22-03-2013,Colombia,Bolivia,5,0,FIFA World Cup qualification,Barranquilla,Colombia,FALSE
22-03-2013,Croatia,Serbia,2,0,FIFA World Cup qualification,Zagreb,Croatia,FALSE
22-03-2013,Czech Republic,Denmark,0,3,FIFA World Cup qualification,Olomouc,Czech Republic,FALSE
22-03-2013,France,Georgia,3,1,FIFA World Cup qualification,Saint-Denis,France,FALSE
22-03-2013,Honduras,Mexico,2,2,FIFA World Cup qualification,San Pedro Sula,Honduras,FALSE
22-03-2013,Hungary,Romania,2,2,FIFA World Cup qualification,Budapest,Hungary,FALSE
22-03-2013,Israel,Portugal,3,3,FIFA World Cup qualification,Ramat-Gan,Israel,FALSE
22-03-2013,Jamaica,Panama,1,1,FIFA World Cup qualification,Kingston,Jamaica,FALSE
22-03-2013,Kazakhstan,Germany,0,3,FIFA World Cup qualification,Astana,Kazakhstan,FALSE
22-03-2013,Liechtenstein,Latvia,1,1,FIFA World Cup qualification,Vaduz,Liechtenstein,FALSE
22-03-2013,Luxembourg,Azerbaijan,0,0,FIFA World Cup qualification,Luxembourg,Luxembourg,FALSE
22-03-2013,North Macedonia,Belgium,0,2,FIFA World Cup qualification,Skopje,North Macedonia,FALSE
22-03-2013,Moldova,Montenegro,0,1,FIFA World Cup qualification,Chișinău,Moldova,FALSE
22-03-2013,Netherlands,Estonia,3,0,FIFA World Cup qualification,Amsterdam,Netherlands,FALSE
22-03-2013,New Zealand,New Caledonia,2,1,FIFA World Cup qualification,Dunedin,New Zealand,FALSE
22-03-2013,Norway,Albania,0,1,FIFA World Cup qualification,Oslo,Norway,FALSE
22-03-2013,Peru,Chile,1,0,FIFA World Cup qualification,Lima,Peru,FALSE
22-03-2013,Poland,Ukraine,1,3,FIFA World Cup qualification,Warsaw,Poland,FALSE
22-03-2013,San Marino,England,0,8,FIFA World Cup qualification,Serravalle,San Marino,FALSE
22-03-2013,Scotland,Wales,1,2,FIFA World Cup qualification,Glasgow,Scotland,FALSE
22-03-2013,Slovakia,Lithuania,1,1,FIFA World Cup qualification,Žilina,Slovakia,FALSE
22-03-2013,Slovenia,Iceland,1,2,FIFA World Cup qualification,Ljubljana,Slovenia,FALSE
22-03-2013,Spain,Finland,1,1,FIFA World Cup qualification,Gijón,Spain,FALSE
22-03-2013,Sweden,Republic of Ireland,0,0,FIFA World Cup qualification,Solna,Sweden,FALSE
22-03-2013,Tahiti,Solomon Islands,2,0,FIFA World Cup qualification,Pirae,French Polynesia,TRUE
22-03-2013,Uruguay,Paraguay,1,1,FIFA World Cup qualification,Montevideo,Uruguay,FALSE
22-03-2013,United States,Costa Rica,1,0,FIFA World Cup qualification,Commerce City,United States,FALSE
23-03-2013,Burkina Faso,Niger,4,0,FIFA World Cup qualification,Ouagadougou,Burkina Faso,FALSE
23-03-2013,Cameroon,Togo,2,1,FIFA World Cup qualification,Yaoundé,Cameroon,FALSE
23-03-2013,Congo,Gabon,1,0,FIFA World Cup qualification,Pointe-Noire,Congo,FALSE
23-03-2013,Cyprus,Switzerland,0,0,FIFA World Cup qualification,Nicosia,Cyprus,FALSE
23-03-2013,Ivory Coast,Gambia,3,0,FIFA World Cup qualification,Abidjan,Ivory Coast,FALSE
23-03-2013,Namibia,Malawi,0,1,FIFA World Cup qualification,Windhoek,Namibia,FALSE
23-03-2013,Nigeria,Kenya,1,1,FIFA World Cup qualification,Calabar,Nigeria,FALSE
23-03-2013,Senegal,Angola,1,1,FIFA World Cup qualification,Conakry,Guinea,TRUE
23-03-2013,South Africa,Central African Republic,2,0,FIFA World Cup qualification,Cape Town,South Africa,FALSE
23-03-2013,Tunisia,Sierra Leone,2,1,FIFA World Cup qualification,Radès,Tunisia,FALSE
24-03-2013,DR Congo,Libya,0,0,FIFA World Cup qualification,Kinshasa,DR Congo,FALSE
24-03-2013,Equatorial Guinea,Cape Verde,0,3,FIFA World Cup qualification,Malabo,Equatorial Guinea,FALSE
24-03-2013,Ethiopia,Botswana,1,0,FIFA World Cup qualification,Addis Ababa,Ethiopia,FALSE
24-03-2013,Ghana,Sudan,4,0,FIFA World Cup qualification,Kumasi,Ghana,FALSE
24-03-2013,Lesotho,Zambia,1,1,FIFA World Cup qualification,Maseru,Lesotho,FALSE
24-03-2013,Liberia,Uganda,2,0,FIFA World Cup qualification,Paynesville,Liberia,FALSE
24-03-2013,Mozambique,Guinea,0,0,FIFA World Cup qualification,Maputo,Mozambique,FALSE
24-03-2013,Rwanda,Mali,1,2,FIFA World Cup qualification,Kigali,Rwanda,FALSE
24-03-2013,Tanzania,Morocco,3,1,FIFA World Cup qualification,Dar es Salaam,Tanzania,FALSE
26-03-2013,Algeria,Benin,3,1,FIFA World Cup qualification,Blida,Algeria,FALSE
26-03-2013,Armenia,Czech Republic,0,3,FIFA World Cup qualification,Yerevan,Armenia,FALSE
26-03-2013,Australia,Oman,2,2,FIFA World Cup qualification,Sydney,Australia,FALSE
26-03-2013,Azerbaijan,Portugal,0,2,FIFA World Cup qualification,Baku,Azerbaijan,FALSE
26-03-2013,Belgium,North Macedonia,1,0,FIFA World Cup qualification,Brussels,Belgium,FALSE
26-03-2013,Bolivia,Argentina,1,1,FIFA World Cup qualification,La Paz,Bolivia,FALSE
26-03-2013,Chile,Uruguay,2,0,FIFA World Cup qualification,Santiago,Chile,FALSE
26-03-2013,Costa Rica,Jamaica,2,0,FIFA World Cup qualification,San José,Costa Rica,FALSE
26-03-2013,Denmark,Bulgaria,1,1,FIFA World Cup qualification,Copenhagen,Denmark,FALSE
26-03-2013,Ecuador,Paraguay,4,1,FIFA World Cup qualification,Quito,Ecuador,FALSE
26-03-2013,Egypt,Zimbabwe,2,1,FIFA World Cup qualification,Alexandria,Egypt,FALSE
26-03-2013,Estonia,Andorra,2,0,FIFA World Cup qualification,Tallinn,Estonia,FALSE
26-03-2013,France,Spain,0,1,FIFA World Cup qualification,Saint-Denis,France,FALSE
26-03-2013,Germany,Kazakhstan,4,1,FIFA World Cup qualification,Nuremberg,Germany,FALSE
26-03-2013,Republic of Ireland,Austria,2,2,FIFA World Cup qualification,Dublin,Republic of Ireland,FALSE
26-03-2013,Jordan,Japan,2,1,FIFA World Cup qualification,Amman,Jordan,FALSE
26-03-2013,South Korea,Qatar,2,1,FIFA World Cup qualification,Seoul,South Korea,FALSE
26-03-2013,Malta,Italy,0,2,FIFA World Cup qualification,Attard,Malta,FALSE
26-03-2013,Mexico,United States,0,0,FIFA World Cup qualification,Mexico City,Mexico,FALSE
26-03-2013,Montenegro,England,1,1,FIFA World Cup qualification,Podgorica,Montenegro,FALSE
26-03-2013,Netherlands,Romania,4,0,FIFA World Cup qualification,Amsterdam,Netherlands,FALSE
26-03-2013,New Caledonia,Tahiti,1,0,FIFA World Cup qualification,Nouméa,New Caledonia,FALSE
26-03-2013,Northern Ireland,Israel,0,2,FIFA World Cup qualification,Belfast,Northern Ireland,FALSE
26-03-2013,Panama,Honduras,2,0,FIFA World Cup qualification,Panama City,Panama,FALSE
26-03-2013,Poland,San Marino,5,0,FIFA World Cup qualification,Warsaw,Poland,FALSE
26-03-2013,Serbia,Scotland,2,0,FIFA World Cup qualification,Novi Sad,Serbia,FALSE
26-03-2013,Solomon Islands,New Zealand,0,2,FIFA World Cup qualification,Honiara,Solomon Islands,FALSE
26-03-2013,Turkey,Hungary,1,1,FIFA World Cup qualification,Istanbul,Turkey,FALSE
26-03-2013,Ukraine,Moldova,2,1,FIFA World Cup qualification,Odessa,Ukraine,FALSE
26-03-2013,Uzbekistan,Lebanon,1,0,FIFA World Cup qualification,Tashkent,Uzbekistan,FALSE
26-03-2013,Venezuela,Colombia,1,0,FIFA World Cup qualification,Puerto Ordaz,Venezuela,FALSE
26-03-2013,Wales,Croatia,1,2,FIFA World Cup qualification,Swansea,Wales,FALSE
04-06-2013,Jamaica,Mexico,0,1,FIFA World Cup qualification,Kingston,Jamaica,FALSE
04-06-2013,Japan,Australia,1,1,FIFA World Cup qualification,Saitama,Japan,FALSE
04-06-2013,Lebanon,South Korea,1,1,FIFA World Cup qualification,Beirut,Lebanon,FALSE
04-06-2013,Oman,Iraq,1,0,FIFA World Cup qualification,Muscat,Oman,FALSE
04-06-2013,Qatar,Iran,0,1,FIFA World Cup qualification,Doha,Qatar,FALSE
05-06-2013,Kenya,Nigeria,0,1,FIFA World Cup qualification,Nairobi,Kenya,FALSE
05-06-2013,Malawi,Namibia,0,0,FIFA World Cup qualification,Blantyre,Malawi,FALSE
07-06-2013,Albania,Norway,1,1,FIFA World Cup qualification,Tirana,Albania,FALSE
07-06-2013,Argentina,Colombia,0,0,FIFA World Cup qualification,Buenos Aires,Argentina,FALSE
07-06-2013,Armenia,Malta,0,1,FIFA World Cup qualification,Yerevan,Armenia,FALSE
07-06-2013,Austria,Sweden,2,1,FIFA World Cup qualification,Vienna,Austria,FALSE
07-06-2013,Azerbaijan,Luxembourg,1,1,FIFA World Cup qualification,Baku,Azerbaijan,FALSE
07-06-2013,Belgium,Serbia,2,1,FIFA World Cup qualification,Brussels,Belgium,FALSE
07-06-2013,Bolivia,Venezuela,1,1,FIFA World Cup qualification,La Paz,Bolivia,FALSE
07-06-2013,Costa Rica,Honduras,1,0,FIFA World Cup qualification,San José,Costa Rica,FALSE
07-06-2013,Croatia,Scotland,0,1,FIFA World Cup qualification,Zagreb,Croatia,FALSE
07-06-2013,Czech Republic,Italy,0,0,FIFA World Cup qualification,Prague,Czech Republic,FALSE
07-06-2013,Finland,Belarus,1,0,FIFA World Cup qualification,Helsinki,Finland,FALSE
07-06-2013,Iceland,Slovenia,2,4,FIFA World Cup qualification,Reykjavík,Iceland,FALSE
07-06-2013,Republic of Ireland,Faroe Islands,3,0,FIFA World Cup qualification,Dublin,Republic of Ireland,FALSE
07-06-2013,Jamaica,United States,1,2,FIFA World Cup qualification,Kingston,Jamaica,FALSE
07-06-2013,Latvia,Bosnia and Herzegovina,0,5,FIFA World Cup qualification,Riga,Latvia,FALSE
07-06-2013,Libya,DR Congo,0,0,FIFA World Cup qualification,Tripoli,Libya,FALSE
07-06-2013,Liechtenstein,Slovakia,1,1,FIFA World Cup qualification,Vaduz,Liechtenstein,FALSE
07-06-2013,Lithuania,Greece,0,1,FIFA World Cup qualification,Vilnius,Lithuania,FALSE
07-06-2013,Moldova,Poland,1,1,FIFA World Cup qualification,Chișinău,Moldova,FALSE
07-06-2013,Montenegro,Ukraine,0,4,FIFA World Cup qualification,Podgorica,Montenegro,FALSE
07-06-2013,Panama,Mexico,0,0,FIFA World Cup qualification,Panama City,Panama,FALSE
07-06-2013,Paraguay,Chile,1,2,FIFA World Cup qualification,Asunción,Paraguay,FALSE
07-06-2013,Peru,Ecuador,1,0,FIFA World Cup qualification,Lima,Peru,FALSE
07-06-2013,Portugal,Russia,1,0,FIFA World Cup qualification,Lisbon,Portugal,FALSE
07-06-2013,Sudan,Ghana,1,3,FIFA World Cup qualification,Omdurman,Sudan,FALSE
08-06-2013,Angola,Senegal,1,1,FIFA World Cup qualification,Luanda,Angola,FALSE
08-06-2013,Botswana,Ethiopia,3,0,FIFA World Cup qualification,Lobatse,Botswana,FALSE
08-06-2013,Cape Verde,Equatorial Guinea,3,0,FIFA World Cup qualification,Praia,Cape Verde,FALSE
08-06-2013,Central African Republic,South Africa,0,3,FIFA World Cup qualification,Yaoundé,Cameroon,TRUE
08-06-2013,Gabon,Congo,0,0,FIFA World Cup qualification,Franceville,Gabon,FALSE
08-06-2013,Gambia,Ivory Coast,0,3,FIFA World Cup qualification,Bakau,Gambia,FALSE
08-06-2013,Morocco,Tanzania,2,1,FIFA World Cup qualification,Marrakech,Morocco,FALSE
08-06-2013,Sierra Leone,Tunisia,2,2,FIFA World Cup qualification,Freetown,Sierra Leone,FALSE
08-06-2013,Switzerland,Cyprus,1,0,FIFA World Cup qualification,Geneva,Switzerland,FALSE
08-06-2013,Uganda,Liberia,1,0,FIFA World Cup qualification,Kampala,Uganda,FALSE
08-06-2013,Zambia,Lesotho,4,0,FIFA World Cup qualification,Ndola,Zambia,FALSE
09-06-2013,Benin,Algeria,1,3,FIFA World Cup qualification,Porto-Novo,Benin,FALSE
09-06-2013,Guinea,Mozambique,6,1,FIFA World Cup qualification,Conakry,Guinea,FALSE
09-06-2013,Mali,Rwanda,1,1,FIFA World Cup qualification,Bamako,Mali,FALSE
09-06-2013,Niger,Burkina Faso,0,1,FIFA World Cup qualification,Niamey,Niger,FALSE
09-06-2013,Togo,Cameroon,0,3,FIFA World Cup qualification,Lomé,Togo,FALSE
09-06-2013,Zimbabwe,Egypt,2,4,FIFA World Cup qualification,Harare,Zimbabwe,FALSE
11-06-2013,Australia,Jordan,4,0,FIFA World Cup qualification,Melbourne,Australia,FALSE
11-06-2013,Belarus,Finland,1,1,FIFA World Cup qualification,Homel,Belarus,FALSE
11-06-2013,Chile,Bolivia,3,1,FIFA World Cup qualification,Santiago,Chile,FALSE
11-06-2013,Colombia,Peru,2,0,FIFA World Cup qualification,Barranquilla,Colombia,FALSE
11-06-2013,Denmark,Armenia,0,4,FIFA World Cup qualification,Copenhagen,Denmark,FALSE
11-06-2013,Ecuador,Argentina,1,1,FIFA World Cup qualification,Quito,Ecuador,FALSE
11-06-2013,Honduras,Jamaica,2,0,FIFA World Cup qualification,Tegucigalpa,Honduras,FALSE
11-06-2013,Iran,Lebanon,4,0,FIFA World Cup qualification,Tehran,Iran,FALSE
11-06-2013,Iraq,Japan,0,1,FIFA World Cup qualification,Doha,Qatar,TRUE
11-06-2013,South Korea,Uzbekistan,1,0,FIFA World Cup qualification,Seoul,South Korea,FALSE
11-06-2013,Mexico,Costa Rica,0,0,FIFA World Cup qualification,Mexico City,Mexico,FALSE
11-06-2013,Sweden,Faroe Islands,2,0,FIFA World Cup qualification,Solna,Sweden,FALSE
11-06-2013,United States,Panama,2,0,FIFA World Cup qualification,Seattle,United States,FALSE
11-06-2013,Venezuela,Uruguay,0,1,FIFA World Cup qualification,Puerto Ordaz,Venezuela,FALSE
12-06-2013,Malawi,Kenya,2,2,FIFA World Cup qualification,Blantyre,Malawi,FALSE
12-06-2013,Namibia,Nigeria,1,1,FIFA World Cup qualification,Windhoek,Namibia,FALSE
14-06-2013,Libya,Togo,2,0,FIFA World Cup qualification,Tripoli,Libya,FALSE
15-06-2013,Botswana,Central African Republic,3,2,FIFA World Cup qualification,Lobatse,Botswana,FALSE
15-06-2013,Cape Verde,Sierra Leone,1,0,FIFA World Cup qualification,Praia,Cape Verde,FALSE
15-06-2013,Congo,Burkina Faso,0,1,FIFA World Cup qualification,Pointe-Noire,Congo,FALSE
15-06-2013,Gabon,Niger,4,1,FIFA World Cup qualification,Franceville,Gabon,FALSE
15-06-2013,Morocco,Gambia,2,0,FIFA World Cup qualification,Marrakech,Morocco,FALSE
15-06-2013,Uganda,Angola,2,1,FIFA World Cup qualification,Kampala,Uganda,FALSE
15-06-2013,Zambia,Sudan,1,1,FIFA World Cup qualification,Ndola,Zambia,FALSE
16-06-2013,DR Congo,Cameroon,0,0,FIFA World Cup qualification,Kinshasa,DR Congo,FALSE
16-06-2013,Equatorial Guinea,Tunisia,1,1,FIFA World Cup qualification,Malabo,Equatorial Guinea,FALSE
16-06-2013,Ethiopia,South Africa,2,1,FIFA World Cup qualification,Addis Ababa,Ethiopia,FALSE
16-06-2013,Guinea,Zimbabwe,1,0,FIFA World Cup qualification,Conakry,Guinea,FALSE
16-06-2013,Lesotho,Ghana,0,2,FIFA World Cup qualification,Maseru,Lesotho,FALSE
16-06-2013,Liberia,Senegal,0,2,FIFA World Cup qualification,Paynesville,Liberia,FALSE
16-06-2013,Mali,Benin,2,2,FIFA World Cup qualification,Bamako,Mali,FALSE
16-06-2013,Mozambique,Egypt,0,1,FIFA World Cup qualification,Maputo,Mozambique,FALSE
16-06-2013,Rwanda,Algeria,0,1,FIFA World Cup qualification,Kigali,Rwanda,FALSE
16-06-2013,Tanzania,Ivory Coast,2,4,FIFA World Cup qualification,Dar es Salaam,Tanzania,FALSE
18-06-2013,Australia,Iraq,1,0,FIFA World Cup qualification,Sydney,Australia,FALSE
18-06-2013,Costa Rica,Panama,2,0,FIFA World Cup qualification,San José,Costa Rica,FALSE
18-06-2013,Jordan,Oman,1,0,FIFA World Cup qualification,Amman,Jordan,FALSE
18-06-2013,South Korea,Iran,0,1,FIFA World Cup qualification,Ulsan,South Korea,FALSE
18-06-2013,United States,Honduras,1,0,FIFA World Cup qualification,Sandy,United States,FALSE
18-06-2013,Uzbekistan,Qatar,5,1,FIFA World Cup qualification,Tashkent,Uzbekistan,FALSE
14-08-2013,Northern Ireland,Russia,1,0,FIFA World Cup qualification,Belfast,Northern Ireland,FALSE
06-09-2013,Bosnia and Herzegovina,Slovakia,0,1,FIFA World Cup qualification,Zenica,Bosnia and Herzegovina,FALSE
06-09-2013,Chile,Venezuela,3,0,FIFA World Cup qualification,Santiago,Chile,FALSE
06-09-2013,Colombia,Ecuador,1,0,FIFA World Cup qualification,Barranquilla,Colombia,FALSE
06-09-2013,Costa Rica,United States,3,1,FIFA World Cup qualification,San José,Costa Rica,FALSE
06-09-2013,Czech Republic,Armenia,1,2,FIFA World Cup qualification,Prague,Czech Republic,FALSE
06-09-2013,England,Moldova,4,0,FIFA World Cup qualification,London,England,FALSE
06-09-2013,Estonia,Netherlands,2,2,FIFA World Cup qualification,Tallinn,Estonia,FALSE
06-09-2013,Finland,Spain,0,2,FIFA World Cup qualification,Helsinki,Finland,FALSE
06-09-2013,Georgia,France,0,0,FIFA World Cup qualification,Tbilisi,Georgia,FALSE
06-09-2013,Germany,Austria,3,0,FIFA World Cup qualification,Munich,Germany,FALSE
06-09-2013,Ghana,Zambia,2,1,FIFA World Cup qualification,Kumasi,Ghana,FALSE
06-09-2013,Republic of Ireland,Sweden,1,2,FIFA World Cup qualification,Dublin,Republic of Ireland,FALSE
06-09-2013,Italy,Bulgaria,1,0,FIFA World Cup qualification,Palermo,Italy,FALSE
06-09-2013,Jordan,Uzbekistan,1,1,FIFA World Cup qualification,Amman,Jordan,FALSE
06-09-2013,Kazakhstan,Faroe Islands,2,1,FIFA World Cup qualification,Astana,Kazakhstan,FALSE
06-09-2013,Latvia,Lithuania,2,1,FIFA World Cup qualification,Riga,Latvia,FALSE
06-09-2013,Liechtenstein,Greece,0,1,FIFA World Cup qualification,Vaduz,Liechtenstein,FALSE
06-09-2013,North Macedonia,Wales,2,1,FIFA World Cup qualification,Skopje,North Macedonia,FALSE
06-09-2013,Malta,Denmark,1,2,FIFA World Cup qualification,Attard,Malta,FALSE
06-09-2013,Mexico,Honduras,1,2,FIFA World Cup qualification,Mexico City,Mexico,FALSE
06-09-2013,Northern Ireland,Portugal,2,4,FIFA World Cup qualification,Belfast,Northern Ireland,FALSE
06-09-2013,Norway,Cyprus,2,0,FIFA World Cup qualification,Oslo,Norway,FALSE
06-09-2013,Panama,Jamaica,0,0,FIFA World Cup qualification,Panama City,Panama,FALSE
06-09-2013,Paraguay,Bolivia,4,0,FIFA World Cup qualification,Asunción,Paraguay,FALSE
06-09-2013,Peru,Uruguay,1,2,FIFA World Cup qualification,Lima,Peru,FALSE
06-09-2013,Poland,Montenegro,1,1,FIFA World Cup qualification,Warsaw,Poland,FALSE
06-09-2013,Romania,Hungary,3,0,FIFA World Cup qualification,Bucharest,Romania,FALSE
06-09-2013,Russia,Luxembourg,4,1,FIFA World Cup qualification,Kazan,Russia,FALSE
06-09-2013,Scotland,Belgium,0,2,FIFA World Cup qualification,Glasgow,Scotland,FALSE
06-09-2013,Serbia,Croatia,1,1,FIFA World Cup qualification,Belgrade,Serbia,FALSE
06-09-2013,Slovenia,Albania,1,0,FIFA World Cup qualification,Ljubljana,Slovenia,FALSE
06-09-2013,Switzerland,Iceland,4,4,FIFA World Cup qualification,Berne,Switzerland,FALSE
06-09-2013,Turkey,Andorra,5,0,FIFA World Cup qualification,Kayseri,Turkey,FALSE
06-09-2013,Ukraine,San Marino,9,0,FIFA World Cup qualification,Lviv,Ukraine,FALSE
07-09-2013,Angola,Liberia,4,1,FIFA World Cup qualification,Lubango,Angola,FALSE
07-09-2013,Burkina Faso,Gabon,1,0,FIFA World Cup qualification,Ouagadougou,Burkina Faso,FALSE
07-09-2013,Central African Republic,Ethiopia,1,2,FIFA World Cup qualification,Brazzaville,Congo,TRUE
07-09-2013,Gambia,Tanzania,2,0,FIFA World Cup qualification,Bakau,Gambia,FALSE
07-09-2013,Israel,Azerbaijan,1,1,FIFA World Cup qualification,Ramat-Gan,Israel,FALSE
07-09-2013,Ivory Coast,Morocco,1,1,FIFA World Cup qualification,Abidjan,Ivory Coast,FALSE
07-09-2013,Niger,Congo,2,2,FIFA World Cup qualification,Niamey,Niger,FALSE
07-09-2013,Nigeria,Malawi,2,0,FIFA World Cup qualification,Calabar,Nigeria,FALSE
07-09-2013,Senegal,Uganda,1,0,FIFA World Cup qualification,Marrakech,Morocco,TRUE
07-09-2013,Sierra Leone,Equatorial Guinea,3,2,FIFA World Cup qualification,Freetown,Sierra Leone,FALSE
07-09-2013,South Africa,Botswana,4,1,FIFA World Cup qualification,Durban,South Africa,FALSE
07-09-2013,Tunisia,Cape Verde,3,0,FIFA World Cup qualification,Radès,Tunisia,FALSE
08-09-2013,Benin,Rwanda,2,0,FIFA World Cup qualification,Porto-Novo,Benin,FALSE
08-09-2013,Cameroon,Libya,1,0,FIFA World Cup qualification,Yaoundé,Cameroon,FALSE
08-09-2013,Kenya,Namibia,1,0,FIFA World Cup qualification,Nairobi,Kenya,FALSE
08-09-2013,Sudan,Lesotho,1,3,FIFA World Cup qualification,Omdurman,Sudan,FALSE
08-09-2013,Togo,DR Congo,2,1,FIFA World Cup qualification,Lomé,Togo,FALSE
08-09-2013,Zimbabwe,Mozambique,1,1,FIFA World Cup qualification,Harare,Zimbabwe,FALSE
10-09-2013,Algeria,Mali,1,0,FIFA World Cup qualification,Blida,Algeria,FALSE
10-09-2013,Andorra,Netherlands,0,2,FIFA World Cup qualification,Sant Julià de Lòria,Andorra,FALSE
10-09-2013,Armenia,Denmark,0,1,FIFA World Cup qualification,Yerevan,Armenia,FALSE
10-09-2013,Austria,Republic of Ireland,1,0,FIFA World Cup qualification,Vienna,Austria,FALSE
10-09-2013,Belarus,France,2,4,FIFA World Cup qualification,Homel,Belarus,FALSE
10-09-2013,Bolivia,Ecuador,1,1,FIFA World Cup qualification,La Paz,Bolivia,FALSE
10-09-2013,Cyprus,Slovenia,0,2,FIFA World Cup qualification,Nicosia,Cyprus,FALSE
10-09-2013,Egypt,Guinea,4,2,FIFA World Cup qualification,el-Gouna,Egypt,FALSE
10-09-2013,Faroe Islands,Germany,0,3,FIFA World Cup qualification,Tórshavn,Faroe Islands,FALSE
10-09-2013,Georgia,Finland,0,1,FIFA World Cup qualification,Tbilisi,Georgia,FALSE
10-09-2013,Greece,Latvia,1,0,FIFA World Cup qualification,Piraeus,Greece,FALSE
10-09-2013,Honduras,Panama,2,2,FIFA World Cup qualification,Tegucigalpa,Honduras,FALSE
10-09-2013,Hungary,Estonia,5,1,FIFA World Cup qualification,Budapest,Hungary,FALSE
10-09-2013,Iceland,Albania,2,1,FIFA World Cup qualification,Reykjavík,Iceland,FALSE
10-09-2013,Italy,Czech Republic,2,1,FIFA World Cup qualification,Turin,Italy,FALSE
10-09-2013,Jamaica,Costa Rica,1,1,FIFA World Cup qualification,Kingston,Jamaica,FALSE
10-09-2013,Kazakhstan,Sweden,0,1,FIFA World Cup qualification,Astana,Kazakhstan,FALSE
10-09-2013,Lithuania,Liechtenstein,2,0,FIFA World Cup qualification,Marijampolė,Lithuania,FALSE
10-09-2013,Luxembourg,Northern Ireland,3,2,FIFA World Cup qualification,Luxembourg,Luxembourg,FALSE
10-09-2013,North Macedonia,Scotland,1,2,FIFA World Cup qualification,Skopje,North Macedonia,FALSE
10-09-2013,Malta,Bulgaria,1,2,FIFA World Cup qualification,Attard,Malta,FALSE
10-09-2013,Norway,Switzerland,0,2,FIFA World Cup qualification,Oslo,Norway,FALSE
10-09-2013,Paraguay,Argentina,2,5,FIFA World Cup qualification,Asunción,Paraguay,FALSE
10-09-2013,Romania,Turkey,0,2,FIFA World Cup qualification,Bucharest,Romania,FALSE
10-09-2013,Russia,Israel,3,1,FIFA World Cup qualification,Saint Petersburg,Russia,FALSE
10-09-2013,San Marino,Poland,1,5,FIFA World Cup qualification,Serravalle,San Marino,FALSE
10-09-2013,Slovakia,Bosnia and Herzegovina,1,2,FIFA World Cup qualification,Žilina,Slovakia,FALSE
10-09-2013,Ukraine,England,0,0,FIFA World Cup qualification,Kyiv,Ukraine,FALSE
10-09-2013,Uruguay,Colombia,2,0,FIFA World Cup qualification,Montevideo,Uruguay,FALSE
10-09-2013,United States,Mexico,2,0,FIFA World Cup qualification,Columbus,United States,FALSE
10-09-2013,Uzbekistan,Jordan,1,1,FIFA World Cup qualification,Tashkent,Uzbekistan,FALSE
10-09-2013,Venezuela,Peru,3,2,FIFA World Cup qualification,Puerto la Cruz,Venezuela,FALSE
10-09-2013,Wales,Serbia,0,3,FIFA World Cup qualification,Cardiff,Wales,FALSE
11-10-2013,Albania,Switzerland,1,2,FIFA World Cup qualification,Tirana,Albania,FALSE
11-10-2013,Andorra,Romania,0,4,FIFA World Cup qualification,Sant Julià de Lòria,Andorra,FALSE
11-10-2013,Argentina,Peru,3,1,FIFA World Cup qualification,Buenos Aires,Argentina,FALSE
11-10-2013,Armenia,Bulgaria,2,1,FIFA World Cup qualification,Yerevan,Armenia,FALSE
11-10-2013,Azerbaijan,Northern Ireland,2,0,FIFA World Cup qualification,Baku,Azerbaijan,FALSE
11-10-2013,Bosnia and Herzegovina,Liechtenstein,4,1,FIFA World Cup qualification,Zenica,Bosnia and Herzegovina,FALSE
11-10-2013,Colombia,Chile,3,3,FIFA World Cup qualification,Barranquilla,Colombia,FALSE
11-10-2013,Croatia,Belgium,1,2,FIFA World Cup qualification,Zagreb,Croatia,FALSE
11-10-2013,Denmark,Italy,2,2,FIFA World Cup qualification,Copenhagen,Denmark,FALSE
11-10-2013,Ecuador,Uruguay,1,0,FIFA World Cup qualification,Quito,Ecuador,FALSE
11-10-2013,England,Montenegro,4,1,FIFA World Cup qualification,London,England,FALSE
11-10-2013,Estonia,Turkey,0,2,FIFA World Cup qualification,Tallinn,Estonia,FALSE
11-10-2013,Faroe Islands,Kazakhstan,1,1,FIFA World Cup qualification,Tórshavn,Faroe Islands,FALSE
11-10-2013,Germany,Republic of Ireland,3,0,FIFA World Cup qualification,Cologne,Germany,FALSE
11-10-2013,Greece,Slovakia,1,0,FIFA World Cup qualification,Piraeus,Greece,FALSE
11-10-2013,Honduras,Costa Rica,1,0,FIFA World Cup qualification,San Pedro Sula,Honduras,FALSE
11-10-2013,Iceland,Cyprus,2,0,FIFA World Cup qualification,Reykjavík,Iceland,FALSE
